word,gender,freq
conductivité,f,0.02
conductrice,f,15.14
conductrices,f,15.14
conduit,m,5.89
conduite,f,26.76
conduite-intérieure,f,0.27
conduites,f,26.76
conduits,m,5.89
condyle,m,0.14
condyles,m,0.14
condé,m,6.49
condés,m,6.49
confection,f,3.51
confectionneur,m,0.47
confectionneurs,m,0.47
confectionneuse,f,0.47
confectionneuses,f,0.47
confesse,f,0.95
confesseur,m,2.70
confesseurs,m,2.70
confession,f,12.84
confessionnal,m,1.89
confessionnaux,m,1.89
confessions,f,12.84
confetti,m,3.78
confettis,m,3.78
confiance,f,162.90
confiances,f,162.90
confidence,f,24.53
confidences,f,24.53
confident,m,5.54
confidente,f,5.54
confidentes,f,5.54
confidentialité,f,1.31
confidents,m,5.54
configuration,f,1.55
configurations,f,1.55
confinement,m,1.01
confins,m,7.30
confiote,f,0.20
confiotes,f,0.20
confirmation,f,5.55
confirmations,f,5.55
confiscation,f,0.81
confiscations,f,0.81
confiserie,f,1.69
confiseries,f,1.69
confiseur,m,1.15
confiseurs,m,1.15
confiseuse,f,1.15
confit,m,0.74
confiteor,m,0.41
confits,m,0.74
confiture,f,15.41
confitures,f,15.41
confituriers,m,0.14
confiturière,f,0.14
conflagration,f,0.41
conflit,m,14.12
conflits,m,14.12
confluence,f,0.27
confluent,m,0.88
confluents,m,0.88
conformation,f,0.27
conformisme,m,3.31
conformismes,m,3.31
conformité,f,1.22
confort,m,17.03
conforts,m,17.03
confraternité,f,0.07
confrontation,f,3.45
confrontations,f,3.45
confrère,m,11.28
confrères,m,11.28
confrérie,f,3.02
confréries,f,3.02
confucianisme,m,0.14
confusion,f,20.61
confusionnisme,m,0.07
confusions,f,20.61
confédération,f,1.15
confédéré,m,0.95
confédérés,m,0.95
conférence,f,22.03
conférences,f,22.03
conférences-débats,f,0.07
conférencier,m,0.95
conférenciers,m,0.95
conférencière,f,0.95
conférents,m,0.07
conga,f,0.20
congas,f,0.20
congayes,f,0.07
congaïs,f,0.07
congestion,f,1.76
congestions,f,1.76
conglobation,f,0.07
conglomérat,m,0.54
conglomérats,m,0.54
congolais,m,0.07
congratulations,f,0.41
congre,m,0.44
congres,m,0.44
congrès,m,15.77
congrégation,f,1.34
congrégations,f,1.34
congère,f,1.15
congères,f,1.15
congé,m,21.62
congédiement,m,0.14
congélateur,m,2.00
congélateurs,m,2.00
congélation,f,0.49
congés,m,21.62
conifère,m,0.81
conifères,m,0.81
conjecture,f,1.55
conjectures,f,1.55
conjoint,m,1.76
conjointe,f,1.76
conjoints,m,1.76
conjoncteur,m,0.01
conjonctif,m,0.01
conjonction,f,2.43
conjonctions,f,2.43
conjonctive,f,0.07
conjonctives,f,0.07
conjonctivite,f,0.54
conjonctivites,f,0.54
conjoncture,f,2.50
conjonctures,f,2.50
conjugaison,f,1.15
conjugaisons,f,1.15
conjugalité,f,0.27
conjungo,m,0.27
conjungos,m,0.27
conjurateur,m,0.01
conjuration,f,1.69
conjurations,f,1.69
conjuré,m,0.56
conjurée,f,0.56
conjurés,m,0.56
connaissance,f,67.50
connaissances,f,67.50
connaissement,m,0.07
connaissements,m,0.07
connaisseur,m,5.61
connaisseurs,m,5.61
connaisseuse,f,5.61
connaisseuses,f,5.61
connard,m,50.13
connards,m,50.13
connasse,f,5.29
connasses,f,5.29
conne,f,122.62
conneau,m,0.27
conneaux,m,0.27
connecteur,m,0.08
connectivité,f,0.06
connerie,f,95.42
conneries,f,95.42
connes,f,122.62
connexion,f,4.45
connexions,f,4.45
connils,m,0.07
connivence,f,6.69
connivences,f,6.69
connotation,f,0.54
connotations,f,0.54
connétable,m,2.03
connétables,m,2.03
conque,f,2.23
conques,f,2.23
conquistador,m,1.69
conquistadores,m,1.69
conquistadors,m,1.69
conquérant,m,5.20
conquérante,f,5.20
conquérantes,f,5.20
conquérants,m,5.20
conquête,f,16.42
conquêtes,f,16.42
cons,m,122.62
consacrant,m,0.07
consanguine,f,0.07
consanguinité,f,0.27
consanguinités,f,0.27
consanguins,m,0.07
conscience,f,81.55
consciences,f,81.55
consciencieuse,f,0.20
consciencieux,m,0.20
conscient,m,1.17
conscients,m,1.17
conscription,f,0.20
conscrit,m,1.89
conscrits,m,1.89
conseil,m,87.14
conseiller,m,23.02
conseillers,m,23.02
conseilleurs,m,0.07
conseillère,f,23.02
conseillères,f,23.02
conseils,m,87.14
consensus,m,0.65
consentement,m,5.95
consentements,m,5.95
conservateur,m,5.20
conservateurs,m,5.20
conservation,f,3.24
conservatisme,m,0.54
conservatoire,m,4.68
conservatoires,m,4.68
conservatrice,f,0.27
conservatrices,f,0.27
conserve,f,14.26
conserverie,f,0.74
conserveries,f,0.74
conserves,f,14.26
considérant,m,0.27
considérants,m,0.27
considération,f,20.34
considérations,f,20.34
consignation,f,0.40
consignations,f,0.40
consigne,f,15.81
consignes,f,15.81
consistance,f,7.43
consistances,f,7.43
consistoire,m,0.14
conso,f,0.19
consoeur,f,0.68
consoeurs,f,0.68
consolateur,m,0.47
consolateurs,m,0.47
consolation,f,10.74
consolations,f,10.74
consolatrice,f,0.47
console,f,3.72
consoles,f,3.72
consolidation,f,0.41
consommateur,m,6.22
consommateurs,m,6.22
consommation,f,9.66
consommations,f,9.66
consommatrice,f,6.22
consommatrices,f,6.22
consommé,m,0.61
consommés,m,0.61
consomption,f,0.27
consonance,f,1.89
consonances,f,1.89
consonne,f,1.69
consonnes,f,1.69
consort,m,0.41
consortium,m,0.81
consortiums,m,0.81
consorts,m,0.41
consos,f,0.19
consoude,f,0.07
conspirateur,m,1.89
conspirateurs,m,1.89
conspiration,f,5.24
conspirations,f,5.24
conspiratrice,f,1.89
conspiratrices,f,1.89
constable,m,0.14
constance,f,2.97
constances,f,2.97
constante,f,1.54
constantes,f,1.54
constat,m,3.45
constatation,f,4.86
constatations,f,4.86
constats,m,3.45
constellation,f,6.76
constellations,f,6.76
consternation,f,4.53
constipation,f,1.69
constipations,f,1.69
constipé,m,0.34
constipée,f,0.34
constipées,f,0.34
constipés,m,0.34
constituant,m,1.01
constituante,f,1.01
constituants,m,1.01
constitution,f,9.12
constitutionnalité,f,0.02
constitutions,f,9.12
constricteur,m,0.11
constricteurs,m,0.11
constriction,f,0.61
constrictor,m,0.05
constrictors,m,0.05
constructeur,m,1.82
constructeurs,m,1.82
construction,f,24.12
constructions,f,24.12
constructivisme,m,0.01
consul,m,10.07
consulat,m,3.84
consulats,m,3.84
consuls,m,10.07
consultant,m,1.76
consultante,f,1.76
consultants,m,1.76
consultation,f,8.24
consultations,f,8.24
consulte,f,0.07
consumation,f,0.07
consumérisme,m,0.43
consécration,f,1.15
consécution,f,0.07
conséquence,f,34.86
conséquences,f,34.86
contact,m,69.85
contacteur,m,0.07
contacts,m,69.85
contagieuse,f,0.34
contagieux,m,0.34
contagion,f,3.72
container,m,3.00
containers,m,3.00
containeur,m,0.01
contaminateur,m,0.01
contamination,f,2.27
contaminations,f,2.27
conte,m,15.07
contemplateur,m,0.20
contemplatif,m,0.41
contemplatifs,m,0.41
contemplation,f,9.66
contemplations,f,9.66
contemplatrice,f,0.20
contemporain,m,5.54
contemporaine,f,5.54
contemporaines,f,5.54
contemporains,m,5.54
contempteur,m,0.27
contempteurs,m,0.27
contenance,f,6.15
contenances,f,6.15
contenant,m,0.74
contenants,m,0.74
conteneur,m,2.92
conteneurs,m,2.92
content,m,7.22
contentement,m,6.35
contentements,m,6.35
contentieux,m,0.47
contention,f,0.41
contentions,f,0.41
contents,m,7.22
contenu,m,16.82
contenus,m,16.82
contes,m,15.07
contestation,f,3.24
contestations,f,3.24
conteste,m,1.01
conteur,m,4.46
conteurs,m,4.46
conteuse,f,4.46
contexte,m,4.50
contextes,m,4.50
contiguïté,f,0.07
continence,f,0.61
continent,m,15.95
continental,m,1.00
continentale,f,1.00
continentaux,m,1.00
continents,m,15.95
contingence,f,1.76
contingences,f,1.76
contingent,m,2.64
contingentement,m,0.01
contingents,m,2.64
continu,m,0.72
continuateur,m,0.34
continuateurs,m,0.34
continuation,f,1.09
continuité,f,4.73
continus,m,0.72
continuum,m,0.55
contorsion,f,2.23
contorsions,f,2.23
contour,m,16.28
contournement,m,0.14
contournements,m,0.14
contours,m,16.28
contra,m,0.20
contraceptif,m,0.55
contraceptifs,m,0.55
contraception,f,0.68
contractant,m,0.14
contractants,m,0.14
contraction,f,3.05
contractions,f,3.05
contractuel,m,0.71
contractuelle,f,0.71
contractuelles,f,0.71
contractuels,m,0.71
contracture,f,0.34
contractures,f,0.34
contradicteur,m,0.14
contradicteurs,m,0.14
contradiction,f,12.97
contradictions,f,12.97
contrainte,f,5.81
contraintes,f,3.31
contraire,m,126.01
contraires,m,126.01
contralto,m,0.28
contraltos,m,0.28
contrariété,f,3.99
contrariétés,f,3.99
contras,m,0.20
contraste,m,12.50
contrastes,m,12.50
contrat,m,53.23
contrat-type,m,0.07
contrats,m,53.23
contravention,f,2.76
contraventions,f,2.76
contre,m,5.81
contre-accusations,f,0.01
contre-alizés,m,0.07
contre-allée,f,0.34
contre-allées,f,0.34
contre-amiral,m,0.19
contre-appel,m,0.07
contre-assurance,f,0.07
contre-attaque,f,2.16
contre-attaques,f,2.16
contre-champ,m,0.07
contre-chant,m,0.14
contre-chocs,m,0.07
contre-clés,f,0.07
contre-courant,m,1.96
contre-culture,f,0.03
contre-emploi,m,0.01
contre-espionnage,m,0.67
contre-exemple,m,0.07
contre-expertise,f,0.52
contre-expertises,f,0.52
contre-feu,m,0.07
contre-feux,m,0.07
contre-fiches,f,0.07
contre-fil,m,0.07
contre-gré,m,0.14
contre-indication,f,0.07
contre-indications,f,0.07
contre-interrogatoire,m,0.48
contre-interrogatoires,m,0.48
contre-jour,m,6.01
contre-la-montre,m,0.80
contre-lame,f,0.07
contre-lettre,f,0.14
contre-manifestants,m,0.14
contre-mesure,f,0.42
contre-mesures,f,0.42
contre-mine,f,0.14
contre-mines,f,0.14
contre-offensive,f,0.41
contre-offensives,f,0.41
contre-ordre,m,0.95
contre-ordres,m,0.95
contre-pente,f,0.34
contre-performance,f,0.14
contre-performances,f,0.14
contre-pied,m,0.61
contre-pieds,m,0.61
contre-plaqué,m,0.54
contre-plongée,f,0.47
contre-pouvoirs,m,0.07
contre-pression,f,0.02
contre-propagande,f,0.07
contre-proposition,f,0.40
contre-propositions,f,0.40
contre-réaction,f,0.01
contre-réforme,f,0.61
contre-révolution,f,0.37
contre-terrorisme,m,0.07
contre-test,m,0.07
contre-torpilleur,m,1.22
contre-torpilleurs,m,1.22
contre-transfert,m,0.01
contre-ut,m,0.07
contre-voie,f,0.27
contre-vérité,f,0.07
contre-épreuve,f,0.07
contre-épreuves,f,0.07
contrebande,f,3.72
contrebandier,m,1.43
contrebandiers,m,1.43
contrebandière,f,1.43
contrechamp,m,0.46
contrechamps,m,0.46
contrecoeur,m,3.38
contrecoup,m,2.03
contrecoups,m,2.03
contredanse,f,0.54
contredanses,f,0.54
contredit,m,0.27
contredits,m,0.27
contrefacteurs,m,0.07
contrefaçon,f,1.15
contrefaçons,f,1.15
contrefiche,f,0.07
contrefort,m,3.65
contreforts,m,3.65
contremarches,f,0.07
contremarques,f,0.07
contremaître,m,3.99
contremaîtres,m,3.99
contremaîtresse,f,0.27
contrepartie,f,2.16
contreplaqué,m,1.35
contrepoids,m,1.82
contrepoint,m,1.62
contrepoison,m,0.47
contrepoisons,m,0.47
contreproposition,f,0.01
contrepèterie,f,0.20
contrepèteries,f,0.20
contres,m,5.81
contrescarpe,f,0.61
contreseing,m,0.21
contresens,m,1.55
contretemps,m,3.18
contrevallation,f,0.01
contrevenant,m,0.50
contrevenants,m,0.50
contrevent,m,1.15
contrevents,m,1.15
contrevérité,f,0.14
contrevérités,f,0.14
contributeur,m,0.02
contribution,f,5.34
contributions,f,5.34
contrition,f,1.76
contritions,f,1.76
contrordre,m,0.41
contrordres,m,0.41
controverse,f,2.57
controverses,f,2.57
contrée,f,5.41
contrées,f,5.41
contrôle,m,66.28
contrôles,m,66.28
contrôleur,m,8.93
contrôleurs,m,8.93
contrôleuse,f,8.93
contumace,f,0.61
contumaces,f,0.61
contusion,f,3.23
contusions,f,3.23
convaincu,m,1.55
convaincus,m,1.55
convalescence,f,3.24
convalescences,f,3.24
convalescent,m,1.96
convalescents,m,1.96
convalo,f,0.34
convalos,f,0.34
convecteur,m,0.01
convection,f,0.06
convenance,f,5.47
convenances,f,5.47
convenant,m,0.01
convent,m,0.07
conventicule,m,0.07
convention,f,12.64
conventionnel,m,0.47
conventionnels,m,0.47
conventions,f,12.64
convergence,f,0.68
conversation,f,115.34
conversations,f,115.34
converse,f,1.28
conversion,f,3.92
conversions,f,3.92
converti,m,1.22
convertie,f,1.22
converties,f,1.22
convertis,m,1.22
convertisseur,m,0.35
convertisseurs,m,0.35
convexité,f,0.20
convict,m,0.07
conviction,f,37.23
convictions,f,37.23
convicts,m,0.07
convivialité,f,0.42
convocation,f,3.65
convocations,f,3.65
convoi,m,18.78
convois,m,18.78
convoitise,f,5.20
convoitises,f,5.20
convoyage,m,0.20
convoyages,m,0.20
convoyeur,m,1.10
convoyeurs,m,1.10
convoyeuse,f,1.10
convulsion,f,5.61
convulsions,f,5.61
cookie,m,8.22
cookies,m,8.22
coolie,m,0.41
coolie-pousse,m,0.01
coolies,m,0.41
cooptation,f,0.14
coopé,f,0.27
coopérant,m,0.14
coopérante,f,0.14
coopérants,m,0.14
coopérateur,m,0.03
coopération,f,6.96
coopératisme,m,0.01
coopérative,f,1.66
coopératives,f,1.66
coordinateur,m,0.83
coordinateurs,m,0.83
coordination,f,2.16
coordinatrice,f,0.83
coordonnateur,m,0.02
coordonnée,f,8.30
coordonnées,f,8.30
coordonnés,m,0.16
cop,f,0.63
copain,m,158.62
copains,m,158.62
copal,m,0.01
copaïba,m,0.07
copeau,m,5.41
copeaux,m,5.41
copiage,m,0.01
copie,f,25.70
copies,f,25.70
copieur,m,0.30
copieurs,m,0.30
copieuse,f,0.30
copieuses,f,0.30
copilote,m,1.50
copinage,m,0.27
copine,f,158.62
copines,f,158.62
copla,f,0.07
coppa,f,0.01
copra,m,0.07
coprins,m,0.07
coproculture,f,0.01
coproducteur,m,0.11
coproducteurs,m,0.11
coproduction,f,0.27
coprologie,f,0.07
coprophagie,f,0.20
coprophilie,f,0.02
copropriété,f,0.56
coprésidence,f,0.01
cops,m,0.41
copte,m,0.34
coptes,m,0.34
copulant,m,0.07
copulation,f,0.47
copulations,f,0.47
copule,f,0.14
copyright,m,0.41
coq,m,19.12
coq-à-l'âne,m,0.14
coqs,m,19.12
coquard,m,0.41
coquards,m,0.41
coquart,m,0.14
coquarts,m,0.14
coque,f,12.64
coquebin,m,0.20
coquelet,m,0.10
coquelicot,m,3.24
coquelicots,m,3.24
coquelle,f,0.07
coqueluche,f,2.43
coqueluches,f,2.43
coquemar,m,0.07
coquerelle,f,0.07
coquerie,f,0.05
coqueron,m,0.02
coques,f,12.64
coquetel,m,0.07
coquetier,m,0.61
coquetiers,m,0.61
coquette,f,2.23
coquetterie,f,7.03
coquetteries,f,7.03
coquettes,f,2.23
coquillage,m,10.47
coquillages,m,10.47
coquillard,m,0.74
coquillards,m,0.74
coquillart,m,0.07
coquille,f,13.45
coquilles,f,13.45
coquillettes,f,0.61
coquin,m,7.55
coquine,f,7.55
coquinerie,f,0.20
coquineries,f,0.20
coquines,f,7.55
coquins,m,7.55
cor,m,3.92
cora,f,0.34
corail,m,3.51
coramine,f,0.10
coran,m,2.43
coras,f,0.34
coraux,m,3.51
corbeau,m,8.85
corbeaux,m,8.85
corbeille,f,19.12
corbeilles,f,19.12
corbillard,m,4.19
corbillards,m,4.19
corbin,m,0.47
corbières,m,0.14
cordage,m,3.85
cordages,m,3.85
corde,f,48.38
cordeau,m,1.76
cordeaux,m,1.76
cordelette,f,3.72
cordelettes,f,3.72
cordelier,m,2.77
cordeliers,m,2.77
cordelière,f,2.77
cordelières,f,2.77
cordelle,f,1.76
corderie,f,0.14
cordes,f,48.38
cordial,m,1.96
cordialité,f,3.65
cordialités,f,3.65
cordiers,m,0.74
cordillère,f,0.28
cordite,f,0.13
cordobas,m,0.01
cordon,m,12.23
cordon-bleu,m,0.27
cordonnerie,f,0.20
cordonnet,m,0.81
cordonnets,m,0.81
cordonnier,m,3.92
cordonniers,m,3.92
cordonnière,f,3.92
cordons,m,12.23
cordons-bleus,m,0.27
cordée,f,0.61
cordées,f,0.61
coriacité,f,0.07
coriandre,f,0.27
corindon,m,0.14
corinthien,m,0.45
corinthiens,m,0.45
cormier,m,0.08
cormoran,m,1.22
cormorans,m,1.22
corn flakes,f,0.14
corn-flakes,m,0.22
cornac,m,0.41
cornaline,f,0.14
cornalines,f,0.14
cornard,m,0.71
cornards,m,0.71
corne,f,19.46
corneille,f,2.36
corneilles,f,2.36
cornemuse,f,1.38
cornemuses,f,1.38
cornemuseur,m,0.01
corner,m,0.30
corners,m,0.30
cornes,f,19.46
cornet,m,8.04
cornets,m,8.04
corniaud,m,5.34
corniauds,m,5.34
corniche,f,7.03
corniches,f,7.03
cornichon,m,4.17
cornichons,m,4.17
cornillon,m,0.20
cornières,f,0.34
cornouaillais,m,0.06
cornouille,f,0.14
cornouiller,m,0.34
cornouillers,m,0.34
cornouilles,f,0.14
cornue,f,1.08
cornues,f,1.08
cornée,f,1.22
cornées,f,1.22
corollaire,m,0.74
corollaires,m,0.74
corolle,f,3.65
corolles,f,3.65
coron,m,1.76
corona,f,0.50
coronarien,m,0.01
coroner,m,2.02
coroners,m,2.02
coronilles,f,0.20
corons,m,1.76
corozo,m,0.20
corporal,m,0.11
corporalité,f,0.07
corporation,f,2.77
corporations,f,2.77
corporatisme,m,0.07
corps,m,480.34
corps-mort,m,0.07
corpsard,m,0.07
corpulence,f,1.76
corpus,m,0.88
corpus delicti,m,0.03
corpuscule,f,0.47
corpuscules,f,0.47
corral,m,1.08
corrals,m,1.08
correcteur,m,0.74
correcteurs,m,0.74
correctif,m,0.20
correction,f,8.89
correctionnelle,f,1.82
correctionnelles,f,1.82
corrections,f,8.89
corrector,m,0.14
corregidor,m,0.15
correspondance,f,13.51
correspondances,f,13.51
correspondancier,m,0.01
correspondant,m,5.88
correspondante,f,5.88
correspondantes,f,5.88
correspondants,m,5.88
corrida,f,4.53
corridas,f,4.53
corridor,m,12.50
corridors,m,12.50
corrigé,m,0.20
corrigés,m,0.20
corroboration,f,0.03
corroierie,f,0.07
corrompu,m,1.02
corrompus,m,1.02
corrosion,f,0.20
corrupteur,m,0.41
corrupteurs,m,0.41
corruption,f,6.59
corruptions,f,6.59
corruptrice,f,0.41
corrélation,f,0.20
cors,m,3.92
corsage,m,15.14
corsages,m,15.14
corselet,m,0.88
corselets,m,0.88
corset,m,2.91
corsetière,f,0.07
corsets,m,2.91
corso,m,1.08
corsos,m,1.08
cortes,f,0.01
cortex,m,8.68
cortine,f,0.03
cortisol,m,0.03
cortisone,f,1.28
corton,m,0.27
cortège,m,20.34
cortèges,m,20.34
cortès,f,0.07
coruscation,f,0.07
corvette,f,1.55
corvettes,f,1.55
corvée,f,16.76
corvées,f,16.76
corybantes,m,0.07
coryphène,m,0.01
coryphée,m,0.07
coryste,m,0.07
coryza,m,0.68
coré,f,0.40
coréen,m,1.79
coréenne,f,1.79
coréennes,f,1.79
coréens,m,1.79
coseigneurs,m,0.07
cosinus,m,0.28
cosmodromes,m,0.01
cosmogonie,f,0.27
cosmogonies,f,0.27
cosmographie,f,0.14
cosmologie,f,0.09
cosmopolitisme,m,0.47
cosmos,m,2.34
cosméticienne,f,0.07
cosmétologie,f,0.07
cossard,m,0.47
cossarde,f,0.47
cossards,m,0.47
cosse,f,0.68
cosses,f,0.68
cossus,m,0.07
costar,m,0.03
costard,m,6.82
costards,m,6.82
costaud,m,4.86
costauds,m,4.86
costume,m,55.88
costumes,m,55.88
costumier,m,0.47
costumiers,m,0.47
costumière,f,0.47
cosy,m,0.95
cosy-corner,m,0.54
cosy-corners,m,0.54
cosys,m,0.95
cotation,f,0.31
cotations,f,0.31
cote,f,8.48
coteau,m,7.70
coteaux,m,7.70
coterie,f,1.55
coteries,f,1.55
cotes,f,8.48
cothurne,m,0.41
cothurnes,m,0.41
cotillon,m,0.81
cotillons,m,0.81
cotisant,m,0.14
cotisants,m,0.14
cotisation,f,1.15
cotisations,f,1.15
coton,m,26.22
coton-tige,m,0.43
cotonnade,f,3.18
cotonnades,f,3.18
cotonnerie,f,0.01
cotonnier,m,0.07
cotonnière,f,0.01
cotons,m,26.22
cotons-tiges,m,0.43
cotonéasters,m,0.07
cotre,m,1.96
cotres,m,1.96
cotrets,m,0.14
cotriade,f,0.07
cottage,m,1.54
cottages,m,1.54
cotte,f,4.05
cottes,f,4.05
coturne,m,0.07
cotylédons,m,0.07
cou,m,115.34
cou-de-pied,m,0.27
couac,m,1.01
couacs,m,1.01
couaille,f,0.14
couard,m,0.47
couardise,f,0.54
couards,m,0.47
couchage,m,1.86
couchant,m,7.16
couchants,m,7.16
couche,f,32.91
couche-culotte,f,0.27
coucher,m,8.92
coucherie,f,1.15
coucheries,f,1.15
couchers,m,8.92
couches,f,32.91
couches-culottes,f,0.27
couchette,f,6.28
couchettes,f,6.28
coucheur,m,0.47
coucheurs,m,0.47
coucheuse,f,0.47
couchoir,m,0.07
couché,m,4.60
coucou,m,13.16
coucous,m,13.16
coude,m,54.19
coudes,m,54.19
coudreuse,f,0.07
coudrier,m,10.41
coudriers,m,10.41
coudée,f,1.55
coudées,f,1.55
couenne,f,1.82
couennes,f,1.82
couette,f,2.03
couettes,f,2.03
couffin,m,1.96
couffins,m,1.96
couguar,m,1.01
couguars,m,1.01
couic,m,1.22
couillard,m,0.07
couille,f,38.80
couilles,f,38.80
couillettes,f,0.27
couillon,m,5.75
couillonnade,f,0.82
couillonnades,f,0.82
couillons,m,5.75
couinement,m,1.76
couinements,m,1.76
coulage,m,0.47
coulant,m,0.47
coulants,m,0.47
coule,f,1.14
coulemelle,f,0.07
couleur,f,198.72
couleurs,f,198.72
couleuvre,f,2.91
couleuvres,f,2.91
couleuvrine,f,0.23
couleuvrines,f,0.23
coulis,m,0.68
coulisse,f,9.05
coulissements,m,0.07
coulisses,f,9.05
coulissier,m,0.14
couloir,m,104.53
couloir-symbole,m,0.07
couloirs,m,104.53
coulombs,m,0.07
coulpe,f,0.14
coulure,f,0.41
coulures,f,0.41
coulé,m,0.42
coulée,f,9.80
coulées,f,9.80
coulés,m,0.42
coumarine,f,0.01
coup,m,837.70
coup-de-poing,m,0.13
coupage,m,0.20
coupages,m,0.20
coupe,f,42.23
coupe-chou,m,0.34
coupe-choux,m,0.27
coupe-cigare,m,0.20
coupe-cigares,m,0.20
coupe-circuit,m,0.34
coupe-circuits,m,0.34
coupe-coupe,m,0.68
coupe-faim,m,0.09
coupe-faims,m,0.09
coupe-feu,m,0.14
coupe-file,m,0.03
coupe-gorge,m,0.61
coupe-jarret,m,0.03
coupe-jarrets,m,0.03
coupe-ongle,m,0.05
coupe-ongles,m,0.26
coupe-papier,m,0.95
coupe-pâte,m,0.07
coupe-racines,m,0.07
coupe-vent,m,0.34
coupelle,f,0.61
coupelles,f,0.61
couperet,m,2.09
couperets,m,2.09
couperose,f,0.88
coupes,f,42.23
coupeur,m,0.55
coupeurs,m,0.55
coupeuse,f,0.55
couplage,m,0.11
couplages,m,0.11
couple,m,63.99
couples,m,63.99
couplet,m,5.34
couplets,m,5.34
coupleur,m,0.18
coupleurs,m,0.18
couplé,m,0.07
coupole,f,8.92
coupoles,f,8.92
coupon,m,2.09
coupon-cadeau,m,0.01
coupons,m,2.09
coups,m,837.70
coups-de-poing,m,0.14
coupure,f,11.08
coupures,f,11.08
coupé,m,2.84
coupée,f,1.35
coupées,f,1.35
coupés,m,2.84
couques,f,0.07
cour,f,150.14
cour-jardin,f,0.07
courage,m,70.73
courages,m,70.73
courant,m,111.58
courante,f,0.41
courantes,f,0.41
courants,m,111.58
courbature,f,1.62
courbatures,f,1.62
courbe,f,18.11
courbes,f,18.11
courbette,f,2.70
courbettes,f,2.70
courbure,f,2.50
courbures,f,2.50
courette,f,2.09
courettes,f,2.09
coureur,m,8.31
coureurs,m,8.31
coureuse,f,8.31
coureuses,f,8.31
courge,f,2.46
courges,f,2.46
courgette,f,1.24
courgettes,f,1.24
courlis,m,0.47
couronne,f,23.15
couronnement,m,2.40
couronnements,m,2.40
couronnes,f,23.15
courriel,m,0.24
courrier,m,24.46
courriers,m,24.46
courroie,f,5.61
courroies,f,5.61
courroux,m,3.55
course,f,81.22
course-poursuite,f,0.34
courses,f,81.22
coursier,m,4.81
coursiers,m,4.81
coursive,f,3.38
coursives,f,3.38
coursière,f,4.81
court,m,8.72
court-bouillon,m,0.68
court-circuit,m,1.76
court-circuits,m,0.02
court-courrier,m,0.01
court-jus,m,0.03
court-métrage,m,0.17
courtage,m,0.36
courtages,m,0.36
courtaud,m,0.14
courtaude,f,0.14
courtepointe,f,1.35
courtepointes,f,1.35
courtier,m,2.96
courtiers,m,2.96
courtilière,f,0.14
courtilières,f,0.14
courtils,m,0.07
courtine,f,2.43
courtines,f,2.43
courtisan,m,6.82
courtisane,f,6.82
courtisanerie,f,0.41
courtisanes,f,6.82
courtisans,m,6.82
courtière,f,2.96
courtières,f,2.96
courtoisie,f,8.18
courtoisies,f,8.18
courts,m,8.72
courts-circuits,m,1.76
cous,m,115.34
cous-de-pied,m,0.07
couscous,m,3.24
couscoussier,m,0.34
couscoussiers,m,0.34
cousette,f,0.68
cousettes,f,0.68
couseuse,f,0.01
cousin,m,89.93
cousinage,m,0.88
cousinages,m,0.88
cousine,f,89.93
cousines,f,89.93
cousins,m,89.93
coussin,m,22.70
coussinet,m,0.88
coussinets,m,0.88
coussins,m,22.70
couteau,m,58.15
couteau-scie,m,0.07
couteaux,m,58.15
coutelas,m,1.22
coutelier,m,0.20
coutellerie,f,0.20
coutelleries,f,0.20
coutil,m,1.28
coutume,f,25.14
coutumes,f,25.14
coutumier,m,0.20
coutumiers,m,0.20
couture,f,10.54
coutures,f,10.54
couturier,m,10.27
couturiers,m,10.27
couturière,f,10.27
couturières,f,10.27
couvade,f,0.01
couvaison,f,0.20
couvaisons,f,0.20
couvent,m,26.15
couventine,f,0.41
couventines,f,0.41
couvents,m,26.15
couvercle,m,22.09
couvercles,m,22.09
couvert,m,25.14
couverts,m,25.14
couverture,f,62.03
couvertures,f,62.03
couvet,m,0.14
couveuse,f,0.95
couveuses,f,0.95
couvre-chef,m,1.55
couvre-chefs,m,1.55
couvre-feu,m,3.63
couvre-feux,m,0.04
couvre-lit,m,2.77
couvre-lits,m,2.77
couvre-pied,m,0.47
couvre-pieds,m,0.47
couvreur,m,1.01
couvreurs,m,1.01
couvée,f,1.42
couvées,f,1.42
covenant,m,0.05
cover-girl,f,0.47
cover-girls,f,0.47
covoiturage,m,0.07
cow-boy,m,5.27
cow-boys,m,5.27
coxalgie,f,0.07
coyote,m,4.01
coyotes,m,4.01
coéquipier,m,4.21
coéquipiers,m,4.21
coéquipière,f,4.21
coéquipières,f,4.21
coïncidence,f,18.04
coïncidences,f,18.04
coït,m,3.38
coïts,m,3.38
coût,m,5.04
coûts,m,5.04
crabe,m,12.36
crabes,m,12.36
crabillon,m,0.20
crabillons,m,0.20
crabs,m,0.41
crac,m,6.01
crachat,m,3.72
crachats,m,3.72
crachement,m,0.68
crachements,m,0.68
cracheur,m,1.08
cracheurs,m,1.08
cracheuse,f,1.08
cracheuses,f,1.08
crachin,m,2.03
crachins,m,2.03
crachoir,m,0.61
crachoirs,m,0.61
crachotement,m,0.27
crachotements,m,0.27
crachouillis,m,0.14
crack,m,7.77
cracker,m,2.22
crackers,m,2.22
cracking,m,0.01
cracks,m,7.77
craie,f,10.68
craies,f,10.68
